case,skill_control_12,replay_match_12
C02,11.75,12.0
C05,11.75,12.0
C10,11.5,11.75
C08,11.75,12.0
C06,12.0,12.0
C03,11.5,11.75
C09,11.5,11.75
C04,12.0,12.0
